City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Port Alfred,ZA,73.98,clear sky,-33.5906,26.891,The Halyards Hotel
14,Hilo,US,76.12,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
16,Tres Arroyos,AR,84.36,scattered clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
17,Charters Towers,AU,72.93,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
18,Atuona,PF,78.67,light rain,-9.8,-139.0333,Villa Enata
23,Rikitea,PF,78.48,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Pedernales,DO,81.37,clear sky,18.0384,-71.744,Hotel Costa Marina
27,Broken Hill,AU,76.71,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
29,Poso,ID,77.9,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
35,Hithadhoo,MV,82.02,few clouds,-0.6,73.0833,Scoop Guest House
36,Kavieng,PG,82.11,light rain,-2.5744,150.7967,Nusa Island Retreat
39,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
42,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
46,Kapaa,US,75.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Lompoc,US,74.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
52,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
53,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
54,Morro Bay,US,74.25,clear sky,35.3658,-120.8499,Inn at Morro Bay
55,Port Elizabeth,ZA,73.09,clear sky,-33.918,25.5701,39 On Nile Guest House
58,Yenagoa,NG,79.36,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
60,Kruisfontein,ZA,70.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
61,Puerto Escondido,MX,84.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
63,Butaritari,KI,81.73,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Bengkulu,ID,74.98,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
70,Popondetta,PG,75.09,overcast clouds,-8.7537,148.2534,Timos Transit House
72,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
75,Lorengau,PG,82.47,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
76,Takoradi,GH,79.2,clear sky,4.8845,-1.7554,Raybow International Hotel
82,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
83,Castro,BR,83.61,clear sky,-24.7911,-50.0119,CHACARA BAILLY
84,Harper,LR,78.98,clear sky,4.375,-7.7169,Screensaver
87,Campoverde,PE,85.69,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
94,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Wang Saphung,TH,71.1,clear sky,17.301,101.7685,โรงแรมวังรีสอร์ท
99,Kontagora,NG,77.79,clear sky,10.3999,5.4695,Queens Guest Inn
100,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
102,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
108,Marovoay,MG,71.74,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
109,Acapulco,MX,84.97,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
111,Buala,SB,83.14,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
113,Tual,ID,82.94,light rain,-5.6667,132.75,Grand Vilia Hotel
115,Bandarbeyla,SO,74.8,clear sky,9.4942,50.8122,JABIR HOTEL
117,Vaini,TO,81.03,few clouds,-21.2,-175.2,Keleti Beach Resort
121,Dingle,PH,73.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
122,Angoche,MZ,77.99,heavy intensity rain,-16.2325,39.9086,Guest House HESADA
125,Namatanai,PG,80.47,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
127,Bousse,BF,72.97,clear sky,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
