City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Igualada,ES,41.581,1.6172,45.64,85,0,1.99,clear sky
1,Luderitz,NA,-26.6481,15.1594,77.83,60,59,10.74,broken clouds
2,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,24.16,light snow
3,Punta Arenas,CL,-53.15,-70.9167,57.31,58,75,23.02,broken clouds
4,Salinas,US,36.6777,-121.6555,69.8,41,0,10.36,clear sky
5,Busselton,AU,-33.65,115.3333,63.09,80,40,14.94,scattered clouds
6,Egvekinot,RU,66.3167,-179.1667,-16.29,97,100,4.72,overcast clouds
7,Ostrovnoy,RU,68.0531,39.5131,28.76,94,100,32.99,overcast clouds
8,Iqaluit,CA,63.7506,-68.5145,-7.87,59,100,5.75,light snow
9,Birjand,IR,32.8663,59.2211,25.27,68,0,4.61,clear sky
10,New Norfolk,AU,-42.7826,147.0587,62.71,73,95,1.16,overcast clouds
11,Mookane,BW,-23.688,26.6595,69.15,49,6,5.86,clear sky
12,Barrow,US,71.2906,-156.7887,-0.38,71,100,5.75,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,73.98,76,0,25.05,clear sky
14,Hilo,US,19.7297,-155.09,76.12,76,40,3.44,scattered clouds
15,Touros,BR,-5.1989,-35.4608,85.1,73,7,10.27,clear sky
16,Tres Arroyos,AR,-38.3739,-60.2798,84.36,28,39,7.78,scattered clouds
17,Charters Towers,AU,-20.1,146.2667,72.93,78,68,9.13,broken clouds
18,Atuona,PF,-9.8,-139.0333,78.67,77,17,18.63,light rain
19,Oranjemund,NA,-28.55,16.4333,74.7,66,74,9.64,broken clouds
20,Olafsvik,IS,64.8945,-23.7142,27.64,60,100,22.73,overcast clouds
21,Chapleau,CA,47.8405,-83.4034,1.49,60,20,9.22,few clouds
22,Jamestown,US,42.097,-79.2353,26.1,65,100,3.0,mist
23,Rikitea,PF,-23.1203,-134.9692,78.48,73,98,16.11,overcast clouds
24,Gisborne,NZ,-38.6533,178.0042,67.95,72,100,2.86,overcast clouds
25,Mataura,NZ,-46.1927,168.8643,55.47,57,67,1.52,broken clouds
26,Pedernales,DO,18.0384,-71.744,81.37,59,0,4.07,clear sky
27,Broken Hill,AU,-31.95,141.4333,76.71,50,100,10.36,overcast clouds
28,Luau,AO,-10.7073,22.2247,63.3,96,56,1.34,light rain
29,Poso,ID,-1.3959,120.7524,77.9,81,100,3.47,overcast clouds
30,Grindavik,IS,63.8424,-22.4338,30.67,74,75,19.57,snow
31,Salalah,OM,17.0151,54.0924,64.08,28,0,13.58,clear sky
32,Thompson,CA,55.7435,-97.8558,-7.44,59,20,10.36,few clouds
33,Mount Gambier,AU,-37.8333,140.7667,66.11,68,70,6.91,broken clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,100,9.22,light snow
35,Hithadhoo,MV,-0.6,73.0833,82.02,69,23,16.2,few clouds
36,Kavieng,PG,-2.5744,150.7967,82.11,72,42,4.27,light rain
37,Dikson,RU,73.5069,80.5464,-10.61,100,100,15.9,overcast clouds
38,Provideniya,RU,64.3833,-173.3,10.51,85,75,8.95,light snow
39,Avarua,CK,-21.2078,-159.775,80.65,89,75,18.41,broken clouds
40,Warrington,GB,53.3925,-2.5802,41.45,86,100,1.01,overcast clouds
41,Lavrentiya,RU,65.5833,-171.0,-0.85,99,100,6.51,overcast clouds
42,Saint-Philippe,RE,-21.3585,55.7679,80.19,82,34,8.72,scattered clouds
43,Saskylakh,RU,71.9167,114.0833,-14.94,100,95,4.9,overcast clouds
44,Laguna,US,38.421,-121.4238,68.43,65,0,1.99,haze
45,Ushuaia,AR,-54.8,-68.3,56.86,54,75,4.61,broken clouds
46,Kapaa,US,22.0752,-159.319,75.47,71,75,1.99,broken clouds
47,Ponta Do Sol,PT,32.6667,-17.1,65.71,78,100,5.64,overcast clouds
48,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,69,34,6.55,scattered clouds
49,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,10.36,few clouds
50,Lompoc,US,34.6391,-120.4579,74.7,53,0,6.91,clear sky
51,Pangnirtung,CA,66.1451,-65.7125,-2.2,60,75,4.61,broken clouds
52,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,78,17,11.21,few clouds
53,Carnarvon,AU,-24.8667,113.6333,78.87,73,2,19.57,clear sky
54,Morro Bay,US,35.3658,-120.8499,74.25,40,0,1.01,clear sky
55,Port Elizabeth,ZA,-33.918,25.5701,73.09,88,0,8.05,clear sky
56,Ayan,RU,56.45,138.1667,5.9,63,87,15.05,overcast clouds
57,Fenyi,CN,27.8112,114.6681,41.92,91,100,4.36,overcast clouds
58,Yenagoa,NG,4.9247,6.2642,79.36,78,18,4.43,few clouds
59,Nahariyya,IL,33.0059,35.0941,47.98,84,100,3.0,overcast clouds
60,Kruisfontein,ZA,-34.0033,24.7314,70.88,59,0,2.93,clear sky
61,Puerto Escondido,MX,15.85,-97.0667,84.6,51,2,6.85,clear sky
62,Albany,US,42.6001,-73.9662,30.27,60,100,2.06,overcast clouds
